conversations
"[{'content': 'Does the University of Westminster offer a course on AI, Data and Communication MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on AI, Data and Communication MA:\nCourse title: AI, Data and Communication MA.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-media-and-communication-courses/2025-26/september/full-time/ai-data-and-communication-ma\nFor Part-time course:\nUK fees: £1,125.\ninternational fees: £1,985.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-media-and-communication-courses/2025-26/september/part-time-day-evening/ai-data-and-communication-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Accounting BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Accounting BSc Honours:\nCourse title: Accounting BSc Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/accounting-and-finance-courses/2025-26/september/full-time/accounting-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Business Management with Foundation BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Business Management with Foundation BA Honours:\nCourse title: Business Management with Foundation BA Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/business-and-management-courses/2025-26/september/full-time/business-management-with-foundation-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Business and Organisational Psychology MSc?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Business and Organisational Psychology MSc:\nCourse title: Business and Organisational Psychology MSc.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£12,700.\ninternational fees: £15,000.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/business-and-management-psychology-courses/2025-26/september/full-time/business-and-organisational-psychology-msc\nFor Part-time course:\nUK fees: £6,350.\ninternational fees: £7,750.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/business-and-management-psychology-courses/2025-26/september/part-time-day-evening/business-and-organisational-psychology-msc ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Business of Film MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Business of Film MA:\nCourse title: Business of Film MA.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£16,700.\ninternational fees: £19,250.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/business-and-management-film-and-television-courses/2025-26/september/full-time/business-of-film-ma\nFor Part-time course:\nUK fees: £1,400.\ninternational fees: £1,925.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/business-and-management-film-and-television-courses/2025-26/september/part-time-day-evening/business-of-film-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Chinese and English BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Chinese and English BA Honours:\nCourse title: Chinese and English BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-languages-courses/2025-26/september/full-time/chinese-and-english-ba-honours\nFor Part-time course:\nUK fees: £1,540.\ninternational fees: £2,830.\nThe duration of the course is 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/languages-courses/2025-26/september/part-time-day/chinese-and-english-ba-honours ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Chinese and International Business BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Chinese and International Business BA Honours:\nCourse title: Chinese and International Business BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/business-and-management-languages-courses/2025-26/september/full-time/chinese-and-international-business-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Chinese and International Communication BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Chinese and International Communication BA Honours:\nCourse title: Chinese and International Communication BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/languages-courses/2025-26/september/full-time/chinese-and-international-communication-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Chinese and International Communication with Foundation BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Chinese and International Communication with Foundation BA Honours:\nCourse title: Chinese and International Communication with Foundation BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/languages-courses/2025-26/september/full-time/chinese-and-international-communication-with-foundation-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Chinese and International Relations BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Chinese and International Relations BA Honours:\nCourse title: Chinese and International Relations BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/languages-politics-and-international-relations-courses/2025-26/september/full-time/chinese-and-international-relations-ba-honours\nFor Part-time course:\nUK fees: £1,540.\ninternational fees: £2,830.\nThe duration of the course is 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/languages-politics-and-international-relations-courses/2025-26/september/part-time-day/chinese-and-international-relations-ba-honours ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Chinese and Linguistics BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Chinese and Linguistics BA Honours:\nCourse title: Chinese and Linguistics BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/languages-courses/2025-26/september/full-time/chinese-and-linguistics-ba-honours\nFor Part-time course:\nUK fees: £1,540.\ninternational fees: £2,830.\nThe duration of the course is 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/languages-courses/2025-26/september/part-time-day/chinese-and-linguistics-ba-honours ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Cognitive and Clinical Neuroscience BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Cognitive and Clinical Neuroscience BSc Honours:\nCourse title: Cognitive and Clinical Neuroscience BSc Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/psychology-courses/2025-26/september/full-time/cognitive-and-clinical-neuroscience-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Communication MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Communication MA:\nCourse title: Communication MA.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/full-time/communication-ma\nFor Part-time course:\nUK fees: £1,125.\ninternational fees: £1,985.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/part-time-day/communication-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Computer Games Development BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Computer Games Development BSc Honours:\nCourse title: Computer Games Development BSc Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-courses/2025-26/september/full-time/computer-games-development-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Computer Games Development with Foundation BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Computer Games Development with Foundation BSc Honours:\nCourse title: Computer Games Development with Foundation BSc Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-courses/2025-26/september/full-time/computer-games-development-with-foundation-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Computer Science BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Computer Science BSc Honours:\nCourse title: Computer Science BSc Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-courses/2025-26/september/full-time/computer-science-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Computer Science with Foundation BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Computer Science with Foundation BSc Honours:\nCourse title: Computer Science with Foundation BSc Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-courses/2025-26/september/full-time/computer-science-with-foundation-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Construction Management BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Construction Management BSc Honours:\nCourse title: Construction Management BSc Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/construction-surveying-and-real-estate-courses/2025-26/september/full-time/construction-management-bsc-honours', 'role': 'assistant'}]"
